planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,15,11.12137,0.002995199999986653,True
0,./map2.txt,1,34,19.023723999999994,0.22442159100000936,True
0,./map2.txt,2,60,28.487650000000006,0.1343695620003018,True
0,./map2.txt,3,19,14.874624,0.00457014000039635,True
0,./map2.txt,4,12,8.88654,0.0030421609999393695,True
0,./map2.txt,5,32,19.258108,11.835406412000339,True
0,./map2.txt,6,31,20.422772000000002,0.01557888900015314,True
0,./map2.txt,7,35,20.051893999999997,1.0623734379996677,True
0,./map2.txt,8,29,17.379469999999998,0.5440240329999142,True
0,./map2.txt,9,10,6.695178,0.0030874949998178636,True
0,./map2.txt,10,30,19.134396000000002,0.226483030000054,True
0,./map2.txt,11,13,11.325120000000002,0.004818502000034641,True
0,./map2.txt,12,58,32.840419399999995,0.1356984150002063,True
0,./map2.txt,13,47,29.94716,0.0109174350000103,True
0,./map2.txt,14,26,18.78373,0.11481189000005543,True
0,./map2.txt,15,40,27.039342000000005,0.08972468000001754,True
0,./map2.txt,16,89,48.06158359999999,4.287990710000031,True
0,./map2.txt,17,33,22.6490162,0.35163243700026214,True
0,./map2.txt,18,15,10.810927999999999,0.007713007999882393,True
0,./map2.txt,19,18,13.110932000000002,0.0034820949999812,True
1,./map2.txt,0,14,11.712822000000001,0.007392103000256611,True
1,./map2.txt,1,31,19.019962,0.06432816300002742,True
1,./map2.txt,2,32,18.992112,0.08529010699976425,True
1,./map2.txt,3,19,15.420692,0.07350870599975678,True
1,./map2.txt,4,16,12.791020000000001,0.005488267000146152,True
1,./map2.txt,5,34,21.808167999999995,0.38940025200008677,True
1,./map2.txt,6,22,15.896146,1.0488215320001473,True
1,./map2.txt,7,22,13.329051999999999,2.47735978000037,True
1,./map2.txt,8,48,26.573518,5.84440749300029,True
1,./map2.txt,9,5,4.403634000000001,0.0026116289996025444,True
1,./map2.txt,10,28,17.215277999999998,3.100009192000016,True
1,./map2.txt,11,14,10.181700000000001,0.003698438999890641,True
1,./map2.txt,12,35,22.329604000000003,0.0434470870000041,True
1,./map2.txt,13,40,23.688512000000003,0.012642668999887974,True
1,./map2.txt,14,14,11.233519999999999,0.005075499000213313,True
1,./map2.txt,15,11,6.8551400000000005,0.00738173799982178,True
1,./map2.txt,16,38,17.9707084,9.538848974999837,True
1,./map2.txt,17,34,24.782333999999995,1.5294393609997314,True
1,./map2.txt,18,20,15.552477999999999,0.004482629999984056,True
1,./map2.txt,19,15,7.558180000000001,0.09647549099963726,True
2,./map2.txt,0,11,11.868523800000002,5.006054317000235,True
2,./map2.txt,1,13,14.369082000000002,5.005939385999682,True
2,./map2.txt,2,20,22.964223399999998,4.812751095999829,True
2,./map2.txt,3,15,16.382928,4.8170410040002025,True
2,./map2.txt,4,12,12.529248,4.819869101000222,True
2,./map2.txt,5,13,14.42592,4.812099116999889,True
2,./map2.txt,6,15,15.5463946,4.815827280000121,True
2,./map2.txt,7,13,13.232953579999998,4.813063806000173,True
2,./map2.txt,8,18,21.76183,4.826856639999733,True
2,./map2.txt,9,8,7.5986284,4.9484217920003175,True
2,./map2.txt,10,12,13.228036,5.031389389000196,True
2,./map2.txt,11,13,13.478796,5.045206313000108,True
2,./map2.txt,12,12,13.667684000000003,5.029505325000173,True
2,./map2.txt,13,19,23.028149999999997,5.038559482999972,True
2,./map2.txt,14,13,13.69964,4.780615473000125,True
2,./map2.txt,15,12,11.841642000000002,5.018205789000149,True
2,./map2.txt,16,13,13.2818601,4.810520891000124,True
2,./map2.txt,17,18,20.099353999999998,4.825809120000031,True
2,./map2.txt,18,13,14.67847,4.8340351919996465,True
2,./map2.txt,19,10,10.3160974,5.055167328000152,True
